date,n
2017-02-01,80
2017-02-02,61
2017-02-03,62
2017-02-04,60
2017-02-05,78
2017-02-06,65
2017-02-07,56
2017-02-08,59
2017-02-09,57
2017-02-10,58
2017-02-11,82
2017-02-12,84
2017-02-13,46
2017-02-14,41
2017-02-15,47
2017-02-16,55
2017-02-17,53
2017-02-18,67
2017-02-19,70
2017-02-20,64
2017-02-21,51
2017-02-22,66
2017-02-23,45
2017-02-24,60
2017-02-25,58
2017-02-26,60
2017-02-27,60
2017-02-28,45
2018-02-01,69
2018-02-02,52
2018-02-03,58
2018-02-04,96
2018-02-05,55
2018-02-06,65
2018-02-07,52
2018-02-08,50
2018-02-09,70
2018-02-10,78
2018-02-11,80
2018-02-12,43
2018-02-13,41
2018-02-14,52
2018-02-15,66
2018-02-16,70
2018-02-17,90
2018-02-18,89
2018-02-19,58
2018-02-20,56
2018-02-21,55
2018-02-22,49
2018-02-23,60
2018-02-24,67
2018-02-25,78
2018-02-26,55
2018-02-27,67
2018-02-28,69
2019-02-01,83
2019-02-02,91
2019-02-03,89
2019-02-04,77
2019-02-05,60
2019-02-06,59
2019-02-07,70
2019-02-08,55
2019-02-09,66
2019-02-10,90
2019-02-11,63
2019-02-12,62
2019-02-13,59
2019-02-14,58
2019-02-15,70
2019-02-16,73
2019-02-17,75
2019-02-18,65
2019-02-19,59
2019-02-20,67
2019-02-21,43
2019-02-22,40
2019-02-23,85
2019-02-24,89
2019-02-25,49
2019-02-26,52
2019-02-27,40
2019-02-28,62
2020-02-01,86
2020-02-02,88
2020-02-03,75
2020-02-04,71
2020-02-05,59
2020-02-06,65
2020-02-07,57
2020-02-08,75
2020-02-09,86
2020-02-10,59
2020-02-11,57
2020-02-12,61
2020-02-13,51
2020-02-14,61
2020-02-15,109
2020-02-16,112
2020-02-17,73
2020-02-18,62
2020-02-19,54
2020-02-20,78
2020-02-21,78
2020-02-22,84
2020-02-23,94
2020-02-24,64
2020-02-25,56
2020-02-26,60
2020-02-27,51
2020-02-28,62
2020-02-29,79
2021-02-01,78
2021-02-02,69
2021-02-03,65
2021-02-04,72
2021-02-05,71
2021-02-06,87
2021-02-07,98
2021-02-08,78
2021-02-09,59
2021-02-10,66
2021-02-11,77
2021-02-12,72
2021-02-13,82
2021-02-14,86
2021-02-15,62
2021-02-16,54
2021-02-17,79
2021-02-18,73
2021-02-19,93
2021-02-20,92
2021-02-21,119
2021-02-22,86
2021-02-23,70
2021-02-24,75
2021-02-25,70
2021-02-26,94
2021-02-27,98
2021-02-28,126
2022-02-01,65
2022-02-02,83
2022-02-03,62
2022-02-04,81
2022-02-05,89
2022-02-06,102
2022-02-07,50
2022-02-08,60
2022-02-09,64
2022-02-10,66
2022-02-11,72
2022-02-12,93
2022-02-13,112
2022-02-14,88
2022-02-15,71
2022-02-16,68
2022-02-17,76
2022-02-18,83
2022-02-19,86
2022-02-20,93
2022-02-21,75
2022-02-22,80
2022-02-23,59
2022-02-24,75
2022-02-25,65
2022-02-26,90
2022-02-27,83
2022-02-28,72
