file_date,n
2017-01-01,25
2017-01-02,28
2017-01-03,17
2017-01-04,20
2017-01-05,21
2017-01-06,15
2017-01-07,21
2017-01-08,23
2017-01-09,27
2017-01-10,25
2017-01-11,28
2017-01-12,28
2017-01-13,39
2017-01-14,22
2017-01-15,24
2017-01-16,27
2017-01-17,20
2017-01-18,28
2017-01-19,37
2017-01-20,20
2017-01-21,23
2017-01-22,39
2017-01-23,38
2017-01-24,29
2017-01-25,16
2017-01-26,22
2017-01-27,34
2017-01-28,19
2017-01-29,21
2017-01-30,31
2017-01-31,41
2017-02-01,23
2017-02-02,32
2017-02-03,27
2017-02-04,24
2017-02-05,22
2017-02-06,40
2017-02-07,23
2017-02-08,36
2017-02-09,31
2017-02-10,37
2017-02-11,33
2017-02-12,43
2017-02-13,21
2017-02-14,26
2017-02-15,21
2017-02-16,24
2017-02-17,31
2017-02-18,31
2017-02-19,22
2017-02-20,30
2017-02-21,34
2017-02-22,29
2017-02-23,33
2017-02-24,32
2017-02-25,21
2017-02-26,23
2017-02-27,35
2017-02-28,22
2017-03-01,32
2017-03-02,33
2017-03-03,29
2017-03-04,36
2017-03-05,20
2017-03-06,24
2017-03-07,21
2017-03-08,29
2017-03-09,37
2017-03-10,35
2017-03-11,28
2017-03-12,14
2017-03-13,38
2017-03-14,21
2017-03-15,21
2017-03-16,16
2017-03-17,38
2017-03-18,25
2017-03-19,32
2017-03-20,38
2017-03-21,27
2017-03-22,16
2017-03-23,42
2017-03-24,32
2017-03-25,15
2017-03-26,19
2017-03-27,32
2017-03-28,21
2017-03-29,24
2017-03-30,25
2017-03-31,36
2017-04-01,25
2017-04-02,24
2017-04-03,35
2017-04-04,28
2017-04-05,19
2017-04-06,28
2017-04-07,28
2017-04-08,32
2017-04-09,27
2017-04-10,34
2017-04-11,27
2017-04-12,19
2017-04-13,28
2017-04-14,20
2017-04-15,21
2017-04-16,25
2017-04-17,29
2017-04-18,30
2017-04-19,30
2017-04-20,27
2017-04-21,29
2017-04-22,28
2017-04-23,19
2017-04-24,27
2017-04-25,33
2017-04-26,21
2017-04-27,58
2017-04-28,21
2017-04-29,34
2017-04-30,25
2017-05-01,26
2017-05-02,26
2017-05-03,25
2017-05-04,30
2017-05-05,34
2017-05-06,21
2017-05-07,21
2017-05-08,26
2017-05-09,35
2017-05-10,37
2017-05-11,36
2017-05-12,45
2017-05-13,17
2017-05-14,30
2017-05-15,22
2017-05-16,28
2017-05-17,22
2017-05-18,23
2017-05-19,47
2017-05-20,21
2017-05-21,35
2017-05-22,25
2017-05-23,38
2017-05-24,30
2017-05-25,38
2017-05-26,29
2017-05-27,30
2017-05-28,36
2017-05-29,30
2017-05-30,27
2017-05-31,20
2017-06-01,24
2017-06-02,34
2017-06-03,29
2017-06-04,22
2017-06-05,30
2017-06-06,31
2017-06-07,28
2017-06-08,41
2017-06-09,38
2017-06-10,30
2017-06-11,25
2017-06-12,20
2017-06-13,27
2017-06-14,26
2017-06-15,31
2017-06-16,32
2017-06-17,30
2017-06-18,21
2017-06-19,32
2017-06-20,26
2017-06-21,23
2017-06-22,37
2017-06-23,28
2017-06-24,25
2017-06-25,34
2017-06-26,26
2017-06-27,35
2017-06-28,31
2017-06-29,36
2017-06-30,44
2017-07-01,50
2017-07-02,22
2017-07-03,19
2017-07-04,23
2017-07-05,37
2017-07-06,31
2017-07-07,33
2017-07-08,27
2017-07-09,30
2017-07-10,21
2017-07-11,39
2017-07-12,13
2017-07-13,35
2017-07-14,26
2017-07-15,18
2017-07-16,27
2017-07-17,27
2017-07-18,27
2017-07-19,32
2017-07-20,28
2017-07-21,25
2017-07-22,15
2017-07-23,14
2017-07-24,38
2017-07-25,16
2017-07-26,23
2017-07-27,27
2017-07-28,44
2017-07-29,26
2017-07-30,30
2017-07-31,42
2017-08-01,34
2017-08-02,25
2017-08-03,31
2017-08-04,28
2017-08-05,29
2017-08-06,29
